ts_ns,px,qty
1756086292400000000,113061.02,0.28200000000000003
1756086292449999872,113061.02,0.267
1756086292449999872,113061.02,0.252
1756086292500000000,113061.02,0.23900000000000002
1756086292600000000,113061.02,0.226
1756086292649999872,113061.02,0.213
1756086292649999872,113061.02,0.202
1756086292700000000,113061.02,0.191
1756086292800000000,113061.02,0.18
1756086292849999872,113061.02,0.17
1756086292849999872,113061.02,0.161
1756086292900000000,113061.01000000001,0.152
1756086293000000000,113060.99,0.14400000000000002
1756086293049999872,113060.99,0.136
1756086293049999872,113060.99,0.128
1756086293100000000,113060.98,0.121
1756086293200000000,113060.98,0.114
1756086293249999872,113060.98,0.108
1756086293249999872,113060.98,0.10200000000000001
1756086293300000000,113060.98,0.1
1756086293400000000,113060.98,0.1
1756086293449999872,113060.98,0.1
1756086293449999872,113060.98,0.1
1756086293500000000,113060.98,0.1
1756086293600000000,113060.98,0.1
1756086293649999872,113060.98,0.1
1756086293649999872,113060.98,0.1
1756086293700000000,113060.97,0.1
1756086293800000000,113060.96,0.1
1756086293849999872,113060.96,0.1
1756086293849999872,113060.96,0.1
1756086293900000000,113060.95,0.1
1756086294000000000,113060.93000000001,0.1
1756086294049999872,113060.93000000001,0.1
1756086294049999872,113060.93000000001,0.1
1756086294100000000,113060.92,0.012
