ts_ns,px,qty
1756195625000000000,110507.95,0.05
1756195684000000000,110506.74,0.05
1756195744000000000,110505.62,0.05
1756195804000000000,110503.17,0.05
1756195864000000000,110500.73,0.0048000000000000004
1756195924000000000,110498.52,0.05
1756195984000000000,110496.73,0.05
1756196044000000000,110495.46,0.05
1756196104000000000,110493.22,0.05
1756196164000000000,110492.45,0.05
1756196224000000000,110492.18000000001,0.05
1756196284000000000,110491.93000000001,0.05
1756196344000000000,110491.29000000001,0.05
1756196404000000000,110489.93000000001,0.05
1756196464000000000,110487.85,0.05
1756196524000000000,110485.13,0.05
1756196584000000000,110482.51000000001,0.05
1756196644000000000,110479.40000000001,0.0048000000000000004
1756196704000000000,110475.49,0.05
1756196764000000000,110472.18000000001,0.05
1756196824000000000,110468.61,0.05
1756196884000000000,110461.36,0.05
1756196944000000000,110457.92,0.05
1756197004000000000,110437.97,0.0048000000000000004
1756197064000000000,110434.55,0.05
1756197124000000000,110416.0,0.0048000000000000004
1756197184000000000,110412.44,0.05
1756197244000000000,110408.73,0.05
1756197304000000000,110405.24,0.05
1756197364000000000,110401.62,0.05
1756197424000000000,110398.13,0.05
1756197484000000000,110394.41,0.0047
1756197544000000000,110390.48,0.05
1756197604000000000,110387.11,0.0047
1756197664000000000,110385.61,0.05
1756197724000000000,110384.48,0.05
1756197784000000000,110383.31,0.05
1756197844000000000,110382.35,0.05
1756197904000000000,110381.29000000001,0.05
1756197964000000000,110380.85,0.05
1756198024000000000,110380.25,0.0015
1756198084000000000,110380.19,0.0011
1756198144000000000,110380.13,0.05
1756198204000000000,110380.05,0.0011
1756198264000000000,110380.06,0.006200000000000001
1756198324000000000,110442.58,0.0006000000000000001
1756198384000000000,110442.40000000001,0.05
1756198444000000000,110441.11,0.05
1756198504000000000,110438.6,0.05
1756198564000000000,110436.24,0.05
1756198624000000000,110433.46,0.05
1756198684000000000,110430.99,0.05
1756198744000000000,110428.56,0.05
1756198804000000000,110426.55,0.05
1756198864000000000,110424.53,0.0058000000000000005
1756198924000000000,110422.57,0.05
1756198984000000000,110420.36,0.05
1756199044000000000,110419.17,0.05
1756199104000000000,110417.32,0.05
1756199164000000000,110415.67,0.0076
