ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:07:03+00:00,1756195623000000000,110119.5,,,,,
2025-08-26 08:07:04+00:00,1756195624000000000,124027.745,,,,,
2025-08-26 08:07:05+00:00,1756195625000000000,110313.74,0.0834,-9218.206302606,0.0,-16.19711399999932,-9234.328382526737
2025-08-26 08:07:06+00:00,1756195626000000000,110313.72,0.1654,-18281.663971674,0.0,-32.119082000000105,-18313.640805080355
2025-08-26 08:07:07+00:00,1756195627000000000,110313.715,0.246,-27190.378874377202,0.0,-47.76799600000351,-27237.939360834054
2025-08-26 08:07:08+00:00,1756195628000000000,110313.715,0.3253,-35955.4048270368,0.0,-63.16369450000507,-36018.296803640114
2025-08-26 08:07:09+00:00,1756195629000000000,110313.715,0.4033,-44576.7418296528,0.0,-78.30700449999742,-44654.71396049853
2025-08-26 08:07:10+00:00,1756195630000000000,110313.73,0.48,-53054.3906493786,0.0,-93.19149299999931,-53147.184398562706
2025-08-26 08:07:11+00:00,1756195631000000000,110313.74,0.5554,-61388.3489977566,0.0,-107.82258699999208,-61495.71354437504
2025-08-26 08:07:12+00:00,1756195632000000000,110313.74,0.6296,-69589.6714042506,0.0,-122.22554899999412,-69711.37957593042
2025-08-26 08:07:13+00:00,1756195633000000000,110313.74,0.7026,-77658.3578688606,0.0,-136.3955790000036,-77794.17769322883
2025-08-26 08:07:14+00:00,1756195634000000000,110313.75,0.7744,-85594.4083915866,0.0,-150.32493300000746,-85744.1001522703
2025-08-26 08:07:15+00:00,1756195635000000000,110313.785,0.845,-93397.8229724286,0.0,-163.9988180000102,-93561.13216005478
2025-08-26 08:07:16+00:00,1756195636000000000,110313.74,0.9145,-101079.65321626561,0.0,-177.52609800001937,-101256.4354954924
2025-08-26 08:07:17+00:00,1756195637000000000,110313.76,0.9828,-108628.84685908681,0.0,-190.76210600001895,-108818.81257654127
2025-08-26 08:07:18+00:00,1756195638000000000,110313.8,1.05,-116056.45758818761,0.0,-203.7609380000111,-116259.37041452783
2025-08-26 08:07:19+00:00,1756195639000000000,110313.79,1.1161,-123362.4847424358,0.0,-216.5961599999945,-123578.18257531992
2025-08-26 08:07:20+00:00,1756195640000000000,110313.78,1.1811,-130546.9276937058,0.0,-229.21797099999057,-130775.19925779194
2025-08-26 08:07:21+00:00,1756195641000000000,110313.795,1.245,-137609.7890425176,0.0,-241.59781299998878,-137850.39190446388
2025-08-26 08:07:22+00:00,1756195642000000000,110313.775,1.3079,-144562.1167050126,0.0,-253.82374050001533,-144814.9014840082
2025-08-26 08:07:23+00:00,1756195643000000000,110313.755,1.3697000000000001,-151392.857822061,0.0,-265.83508149999096,-151657.61440926403
2025-08-26 08:07:24+00:00,1756195644000000000,110313.72,1.4305,-158113.06428259859,0.0,-277.6715330000008,-158389.6232921983
2025-08-26 08:07:25+00:00,1756195645000000000,110313.745,1.4903000000000002,-164722.7434240926,0.0,-289.23128949997476,-165010.82632877817
2025-08-26 08:07:26+00:00,1756195646000000000,110313.715,1.5491000000000001,-171221.8881091158,0.0,-300.6746724999994,-171521.3838390764
2025-08-26 08:07:27+00:00,1756195647000000000,110313.715,1.6070000000000002,-177621.5555106606,0.0,-311.89829800000234,-177932.24535511655
2025-08-26 08:07:28+00:00,1756195648000000000,110313.705,1.6118000000000001,-178152.0978379086,0.0,-312.84482400000394,-178463.7318098564
2025-08-26 08:07:29+00:00,1756195649000000000,110313.695,1.6686,-184430.1797712222,0.0,-323.8696339999822,-184752.81244282343
2025-08-26 08:07:30+00:00,1756195650000000000,110313.685,1.6731,-184927.5628879542,0.0,-324.7583974999937,-185251.08238945404
2025-08-26 08:07:31+00:00,1756195651000000000,110313.655,1.7289,-191095.1085124266,0.0,-335.61900349997376,-191429.4696652691
2025-08-26 08:07:32+00:00,1756195652000000000,110313.62,1.7334,-191592.4909090146,0.0,-336.55116500000054,-191927.7830097557
2025-08-26 08:07:33+00:00,1756195653000000000,110313.595,1.7883,-197660.5534018392,0.0,-347.2272574999777,-198006.5095341432
2025-08-26 08:07:34+00:00,1756195654000000000,110313.555,1.8423,-203629.1351394912,0.0,-357.75507949999786,-203985.61155057847
2025-08-26 08:07:35+00:00,1756195655000000000,110313.54,1.8468,-204126.5166358992,0.0,-358.6538239999969,-204483.89147788504
2025-08-26 08:07:36+00:00,1756195656000000000,110313.57,1.8998,-209984.5653713712,0.0,-368.8565700000018,-210352.13926582944
2025-08-26 08:07:37+00:00,1756195657000000000,110313.565,1.9519,-215743.1378075616,0.0,-378.95028449998654,-216120.80178571254
2025-08-26 08:07:38+00:00,1756195658000000000,110313.56,2.0032,-221413.2848142024,0.0,-388.88761999997183,-221800.8846047974
2025-08-26 08:07:39+00:00,1756195659000000000,110313.595,2.0536000000000003,-226983.9545493672,0.0,-398.5681439999475,-227381.23437562652
2025-08-26 08:07:40+00:00,1756195660000000000,110313.63,2.1036,-232510.4126199672,0.0,-408.16776799996023,-232917.2915857665
2025-08-26 08:07:41+00:00,1756195661000000000,110313.605,2.1536,-238036.8696903672,0.0,-417.8921080000083,-238453.47351170654
2025-08-26 08:07:42+00:00,1756195662000000000,110313.62,2.2036,-243563.3267607672,0.0,-427.5308040000359,-243989.56979364657
2025-08-26 08:07:43+00:00,1756195663000000000,110313.645,2.2535999999999996,-249089.7828309672,0.0,-437.14446400004266,-249525.64103938654
2025-08-26 08:07:44+00:00,1756195664000000000,110313.67,2.3035999999999994,-254616.2379009672,0.0,-446.7546240000728,-255061.70878492657
2025-08-26 08:07:45+00:00,1756195665000000000,110313.705,2.3535999999999992,-260142.69297096718,0.0,-456.33874800011245,-260597.75049446657
2025-08-26 08:07:46+00:00,1756195666000000000,110313.74,2.403599999999999,-265669.1480409672,0.0,-465.9193720001024,-266133.7887040066
2025-08-26 08:07:47+00:00,1756195667000000000,110313.76,2.453599999999999,-271195.60211076715,0.0,-475.5323000001224,-271669.8592173466
2025-08-26 08:07:48+00:00,1756195668000000000,110313.795,2.5035999999999987,-276722.05618056713,0.0,-485.1056740001274,-277205.8901766866
2025-08-26 08:07:49+00:00,1756195669000000000,110313.83,2.5535999999999985,-282248.5102503671,0.0,-494.6755480001111,-282741.9176360265
2025-08-26 08:07:50+00:00,1756195670000000000,110313.85,2.6035999999999984,-287774.9633199671,0.0,-504.2799760001333,-288277.9796491665
2025-08-26 08:07:51+00:00,1756195671000000000,110313.885,2.653599999999998,-293301.4163895671,0.0,-513.8426000001753,-293813.99985830655
2025-08-26 08:07:52+00:00,1756195672000000000,110313.92,2.703599999999998,-298827.8684589671,0.0,-523.4007240001833,-299350.01556724653
2025-08-26 08:07:53+00:00,1756195673000000000,110313.95,2.753599999999998,-304354.32052836707,0.0,-532.9691160002184,-304886.04154418653
2025-08-26 08:07:54+00:00,1756195674000000000,110313.98,2.8035999999999976,-309880.7715975671,0.0,-542.5335080002575,-310422.0635209266
2025-08-26 08:07:55+00:00,1756195675000000000,110313.975,2.8535999999999975,-315407.2216665671,0.0,-552.1937760002321,-315958.18137346656
2025-08-26 08:07:56+00:00,1756195676000000000,110313.99,2.9035999999999973,-320933.6692350671,0.0,-561.7939720002778,-321494.2391535066
2025-08-26 08:07:57+00:00,1756195677000000000,110314.025,2.953599999999997,-326460.1168035671,0.0,-571.3335960003667,-327030.2363615466
2025-08-26 08:07:58+00:00,1756195678000000000,110314.025,3.003599999999997,-331986.5643720671,0.0,-580.9748460004233,-332566.33519558667
