ts_ns,px,qty
1756195625000000000,110507.95,0.2999
1756195684000000000,110506.74,0.2999
1756195744000000000,110505.62,0.2999
1756195804000000000,110503.17,0.2999
1756195864000000000,110500.73,0.0048000000000000004
1756195924000000000,110498.52,0.2999
1756195984000000000,110496.73,0.2999
1756196044000000000,110495.46,0.2999
1756196104000000000,110493.22,0.2999
1756196164000000000,110492.45,0.2999
1756196224000000000,110492.18000000001,0.2999
1756196284000000000,110491.93000000001,0.2999
1756196344000000000,110491.29000000001,0.2999
1756196404000000000,110489.93000000001,0.2999
1756196464000000000,110487.85,0.2999
1756196524000000000,110485.13,0.2999
1756196584000000000,110482.51000000001,0.2999
1756196644000000000,110479.40000000001,0.0048000000000000004
1756196704000000000,110475.49,0.2919
