ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:07:03+00:00,1756195623000000000,110119.5,,,,,
2025-08-26 08:07:04+00:00,1756195624000000000,124027.745,,,,,
2025-08-26 08:07:05+00:00,1756195625000000000,110313.74,0.085,-9395.05438515,0.0,-16.50784999999931,-9411.446874883342
2025-08-26 08:07:06+00:00,1756195626000000000,110313.72,0.1686,-18635.3600087364,0.0,-32.74048999999922,-18667.878366254532
2025-08-26 08:07:07+00:00,1756195627000000000,110313.715,0.2508,-27720.922849954797,0.0,-48.70005199999897,-27769.296607309174
2025-08-26 08:07:08+00:00,1756195628000000000,110313.715,0.3317,-36662.7967411296,0.0,-64.40638250000002,-36726.77431415371
2025-08-26 08:07:09+00:00,1756195629000000000,110313.715,0.4113,-45460.9816822608,0.0,-79.8603244999992,-45540.31232978813
2025-08-26 08:07:10+00:00,1756195630000000000,110313.73,0.4896,-54115.478456505,0.0,-95.05531700000125,-54209.90409336905
2025-08-26 08:07:11+00:00,1756195631000000000,110313.74,0.5666,-62626.284727395,0.0,-109.99689099998878,-62735.55513542925
2025-08-26 08:07:12+00:00,1756195632000000000,110313.74,0.6423,-70993.402061244,0.0,-124.691017999996,-71117.27142778195
2025-08-26 08:07:13+00:00,1756195633000000000,110313.74,0.7167,-79216.830458052,0.0,-139.13280199999087,-79355.04807442713
2025-08-26 08:07:14+00:00,1756195634000000000,110313.75,0.7899,-87307.622912976,0.0,-153.33375499999258,-87459.94945680385
2025-08-26 08:07:15+00:00,1756195635000000000,110313.785,0.8619,-95265.779426016,0.0,-167.27878849998646,-95431.96048641208
2025-08-26 08:07:16+00:00,1756195636000000000,110313.74,0.9328,-103102.3515740454,0.0,-181.07855499999255,-103282.24468490729
2025-08-26 08:07:17+00:00,1756195637000000000,110313.76,1.0025,-110806.2871070562,0.0,-194.58588100000316,-110999.60200949943
2025-08-26 08:07:18+00:00,1756195638000000000,110313.8,1.071,-118377.58673419019,0.0,-207.83615099999167,-118584.0678448303
2025-08-26 08:07:19+00:00,1756195639000000000,110313.79,1.1383999999999999,-125827.302773469,0.0,-220.92380900000836,-126046.78950420354
2025-08-26 08:07:20+00:00,1756195640000000000,110313.78,1.2046999999999999,-133155.4345837644,0.0,-233.79805599999938,-133387.71618849094
2025-08-26 08:07:21+00:00,1756195641000000000,110313.795,1.2698999999999998,-140361.9848176068,0.0,-246.42976350002786,-140606.81876972292
2025-08-26 08:07:22+00:00,1756195642000000000,110313.775,1.3339999999999999,-147446.94830196182,0.0,-258.8889590000309,-147704.16727436509
2025-08-26 08:07:23+00:00,1756195643000000000,110313.755,1.3970999999999998,-154421.37814800962,0.0,-271.15293749999654,-154690.79186687962
2025-08-26 08:07:24+00:00,1756195644000000000,110313.72,1.4590999999999998,-161274.22026237362,0.0,-283.22301600001185,-161555.64099460797
2025-08-26 08:07:25+00:00,1756195645000000000,110313.745,1.5200999999999998,-168016.53510570363,0.0,-295.0147435000008,-168309.6830774819
2025-08-26 08:07:26+00:00,1756195646000000000,110313.715,1.5800999999999998,-174648.31539654362,0.0,-306.6916465000084,-174953.08164054542
2025-08-26 08:07:27+00:00,1756195647000000000,110313.715,1.6390999999999998,-181169.5654257516,0.0,-318.12850150002777,-181485.71146115655
2025-08-26 08:07:28+00:00,1756195648000000000,110313.705,1.6438999999999997,-181700.1077529996,0.0,-319.07534850004606,-182017.19604094242
2025-08-26 08:07:29+00:00,1756195649000000000,110313.695,1.7018999999999997,-188110.8252201156,0.0,-330.3330575000098,-188439.11802064115
2025-08-26 08:07:30+00:00,1756195650000000000,110313.685,1.7063999999999997,-188608.2083368476,0.0,-331.22215400001335,-188937.38624156493
2025-08-26 08:07:31+00:00,1756195651000000000,110313.655,1.7633999999999996,-194908.3893510936,0.0,-342.3162410000307,-195248.61590357329
2025-08-26 08:07:32+00:00,1756195652000000000,110313.62,1.7678999999999996,-195405.77174768157,0.0,-343.24961000005493,-195746.92839685304
2025-08-26 08:07:33+00:00,1756195653000000000,110313.595,1.8238999999999996,-201595.41654910558,0.0,-354.1396075000248,-201947.425273719
2025-08-26 08:07:34+00:00,1756195654000000000,110313.555,1.8788999999999996,-207674.5275781956,0.0,-364.8624885000619,-208037.2263389306
2025-08-26 08:07:35+00:00,1756195655000000000,110313.54,1.8833999999999995,-208171.90907460358,0.0,-365.7617820000561,-208535.50475653037
2025-08-26 08:07:36+00:00,1756195656000000000,110313.57,1.9374999999999996,-214151.53995364197,0.0,-376.17633500003546,-214525.52166815195
2025-08-26 08:07:37+00:00,1756195657000000000,110313.565,1.9906999999999995,-220031.69453339878,0.0,-386.4831485000546,-220415.95501545363
2025-08-26 08:07:38+00:00,1756195658000000000,110313.56,2.0429999999999993,-225812.37072145558,0.0,-396.61419800007326,-226206.73677351695
2025-08-26 08:07:39+00:00,1756195659000000000,110313.595,2.0943999999999994,-231493.56961803237,0.0,-406.4867940000712,-231897.7842530619
2025-08-26 08:07:40+00:00,1756195660000000000,110313.63,2.1448999999999994,-237075.29226933836,0.0,-416.18170500005846,-237489.1782227977
2025-08-26 08:07:41+00:00,1756195661000000000,110313.605,2.1945999999999994,-242568.59059731595,0.0,-425.84904700006666,-242992.12166794878
2025-08-26 08:07:42+00:00,1756195662000000000,110313.62,2.2433999999999994,-247962.41269802634,0.0,-435.2550240000718,-248395.32792329433
2025-08-26 08:07:43+00:00,1756195663000000000,110313.645,2.291499999999999,-253278.86343755873,0.0,-444.5002765000589,-253721.00336798758
2025-08-26 08:07:44+00:00,1756195664000000000,110313.67,2.338799999999999,-258506.88993377873,0.0,-453.5874980000773,-258958.09782611212
2025-08-26 08:07:45+00:00,1756195665000000000,110313.705,2.385299999999999,-263646.49314887874,0.0,-462.4938575000567,-264106.58846686035
2025-08-26 08:07:46+00:00,1756195666000000000,110313.74,2.431099999999999,-268708.72599299875,0.0,-471.2616800000479,-269177.57048465434
2025-08-26 08:07:47+00:00,1756195667000000000,110313.76,2.476099999999999,-273682.5346558188,0.0,-479.9079580000903,-274160.008002392
2025-08-26 08:07:48+00:00,1756195668000000000,110313.795,2.520299999999999,-278567.920053522,0.0,-488.360071500115,-279053.8284002566
2025-08-26 08:07:49+00:00,1756195669000000000,110313.83,2.5637999999999987,-283375.935094248,0.0,-496.6738860001105,-283870.14041316963
2025-08-26 08:07:50+00:00,1756195670000000000,110313.85,2.606599999999999,-288106.57892182557,0.0,-504.88771800008595,-288608.98235746
2025-08-26 08:07:51+00:00,1756195671000000000,110313.885,2.648699999999999,-292759.8524064288,0.0,-512.9249445001009,-293270.27761030174
2025-08-26 08:07:52+00:00,1756195672000000000,110313.92,2.690099999999999,-297335.754719892,0.0,-520.8232680000955,-297854.0638740292
2025-08-26 08:07:53+00:00,1756195673000000000,110313.95,2.730799999999999,-301834.2867043836,0.0,-528.5972580000297,-302360.3557183108
2025-08-26 08:07:54+00:00,1756195674000000000,110313.98,2.770799999999999,-306255.4475597436,0.0,-536.2329340000318,-306789.1391624865
2025-08-26 08:07:55+00:00,1756195675000000000,110313.975,2.810199999999999,-310610.2902141156,0.0,-543.8480329999717,-311151.5848129819
2025-08-26 08:07:56+00:00,1756195676000000000,110313.99,2.848899999999999,-314887.76063213457,0.0,-551.2695620000184,-315436.46680715005
2025-08-26 08:07:57+00:00,1756195677000000000,110314.025,2.886999999999999,-319098.91367933154,0.0,-558.5164830000427,-319654.856976804
2025-08-26 08:07:58+00:00,1756195678000000000,110314.025,2.924399999999999,-323232.69646056957,0.0,-565.7281380000484,-323795.8417945247
