ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:07:03+00:00,1756195623000000000,110119.5,,,,,
2025-08-26 08:07:04+00:00,1756195624000000000,124027.745,,,,,
2025-08-26 08:07:05+00:00,1756195625000000000,110313.74,0.01,-1105.3005159000002,0.0,-1.9420999999999184,-1107.1597906960935
2025-08-26 08:07:06+00:00,1756195626000000000,110313.72,0.02,-2210.60023164,0.0,-3.8837999999997557,-2214.3191812321866
2025-08-26 08:07:07+00:00,1756195627000000000,110313.715,0.03,-3315.89984736,0.0,-5.825349999999889,-3321.47842174828
2025-08-26 08:07:08+00:00,1756195628000000000,110313.715,0.04,-4421.19946308,0.0,-7.766799999999348,-4428.637562264374
2025-08-26 08:07:09+00:00,1756195629000000000,110313.715,0.05,-5526.4990788,0.0,-9.708249999998953,-5535.796702780467
2025-08-26 08:07:10+00:00,1756195630000000000,110313.73,0.060000000000000005,-6631.79879454,0.0,-11.648899999998976,-6642.9550433165605
2025-08-26 08:07:11+00:00,1756195631000000000,110313.74,0.07,-7737.0983102400005,0.0,-13.589399999999152,-7750.1132338126545
2025-08-26 08:07:12+00:00,1756195632000000000,110313.74,0.08,-8842.397825940001,0.0,-15.530499999999302,-8857.272024308748
2025-08-26 08:07:13+00:00,1756195633000000000,110313.74,0.09,-9947.697341640001,0.0,-17.471599999999306,-9964.430814804842
2025-08-26 08:07:14+00:00,1756195634000000000,110313.75,0.09999999999999999,-11052.996857340002,0.0,-19.411699999999836,-11071.588605300936
2025-08-26 08:07:15+00:00,1756195635000000000,110313.785,0.10999999999999999,-12158.296373040002,0.0,-21.348849999998926,-12178.74344579703
2025-08-26 08:07:16+00:00,1756195636000000000,110313.74,0.11999999999999998,-13263.595688700003,0.0,-23.294699999999718,-13285.906986253123
2025-08-26 08:07:17+00:00,1756195637000000000,110313.76,0.12999999999999998,-14368.894904340003,0.0,-25.232900000000658,-14393.062876689219
2025-08-26 08:07:18+00:00,1756195638000000000,110313.8,0.13999999999999999,-15474.194119980002,0.0,-27.167899999998916,-15500.21556712531
2025-08-26 08:07:19+00:00,1756195639000000000,110313.79,0.15,-16579.493235600003,0.0,-29.10949999999866,-16607.374857541407
2025-08-26 08:07:20+00:00,1756195640000000000,110313.78,0.16,-17684.79215118,0.0,-31.051099999996367,-17714.534147917497
2025-08-26 08:07:21+00:00,1756195641000000000,110313.795,0.17,-18790.091266800002,0.0,-32.98884999999398,-18821.68958833359
2025-08-26 08:07:22+00:00,1756195642000000000,110313.775,0.18000000000000002,-19895.3897823,0.0,-34.93199999999459,-19928.850428629685
2025-08-26 08:07:23+00:00,1756195643000000000,110313.755,0.19000000000000003,-21000.68769768,0.0,-36.874949999989624,-21036.011068805776
2025-08-26 08:07:24+00:00,1756195644000000000,110313.72,0.20000000000000004,-22105.984812900002,0.0,-38.82049999999,-22143.17430882187
2025-08-26 08:07:25+00:00,1756195645000000000,110313.745,0.21000000000000005,-23211.282328200003,0.0,-40.7545499999878,-23250.326048917967
2025-08-26 08:07:26+00:00,1756195646000000000,110313.715,0.22000000000000006,-24316.579043340003,0.0,-42.69939999998694,-24357.48858885406
2025-08-26 08:07:27+00:00,1756195647000000000,110313.715,0.23000000000000007,-25421.875658460005,0.0,-44.637849999988696,-25464.644728770156
2025-08-26 08:07:28+00:00,1756195648000000000,110313.705,0.23480000000000006,-25952.417985708005,0.0,-45.570605999985304,-25996.08197592028
2025-08-26 08:07:29+00:00,1756195649000000000,110313.695,0.24480000000000007,-27057.714100728004,0.0,-47.511103999981366,-27103.24016373637
2025-08-26 08:07:30+00:00,1756195650000000000,110313.685,0.24930000000000008,-27555.097217460003,0.0,-48.38562949998508,-27601.462649626614
2025-08-26 08:07:31+00:00,1756195651000000000,110313.655,0.2593000000000001,-28660.392132240002,0.0,-50.33045849998308,-28708.625168202703
2025-08-26 08:07:32+00:00,1756195652000000000,110313.62,0.2638000000000001,-29157.774528828002,0.0,-51.211183999984385,-29206.85385394895
2025-08-26 08:07:33+00:00,1756195653000000000,110313.595,0.2738000000000001,-30263.068243368,0.0,-53.154528999983,-30314.01488828504
2025-08-26 08:07:34+00:00,1756195654000000000,110313.555,0.2838000000000001,-31368.361157748,0.0,-55.10183099998145,-31421.179879461135
2025-08-26 08:07:35+00:00,1756195655000000000,110313.54,0.2883000000000001,-31865.742654156,0.0,-55.97719799997873,-31919.40320652738
2025-08-26 08:07:36+00:00,1756195656000000000,110313.57,0.2983000000000001,-32971.034868396004,0.0,-57.904048999973185,-33026.54774656347
2025-08-26 08:07:37+00:00,1756195657000000000,110313.565,0.30830000000000013,-34076.327082636,0.0,-59.8410904999723,-34133.70247709956
2025-08-26 08:07:38+00:00,1756195658000000000,110313.56,0.31830000000000014,-35181.618896796004,0.0,-61.777831999972314,-35240.85690755566
2025-08-26 08:07:39+00:00,1756195659000000000,110313.595,0.32830000000000015,-36286.910510916,0.0,-63.70134149997312,-36347.99810597175
2025-08-26 08:07:40+00:00,1756195660000000000,110313.63,0.33830000000000016,-37392.202125036,0.0,-65.62415099996983,-37455.13860438784
2025-08-26 08:07:41+00:00,1756195661000000000,110313.605,0.34830000000000017,-38497.493539115996,0.0,-67.56695849996908,-38562.29910076393
2025-08-26 08:07:42+00:00,1756195662000000000,110313.62,0.3583000000000002,-39602.784953195995,0.0,-69.49593399996448,-39669.44576514002
2025-08-26 08:07:43+00:00,1756195663000000000,110313.645,0.3683000000000002,-40708.076167235995,0.0,-71.42072649996298,-40776.588246476116
2025-08-26 08:07:44+00:00,1756195664000000000,110313.67,0.3783000000000002,-41813.367181236,0.0,-73.34481899996425,-41883.73002777221
2025-08-26 08:07:45+00:00,1756195665000000000,110313.705,0.3883000000000002,-42918.658195236,0.0,-75.26452849996032,-42990.867426068304
2025-08-26 08:07:46+00:00,1756195666000000000,110313.74,0.3983000000000002,-44023.949209236,0.0,-77.18353799995701,-44098.0041243644
2025-08-26 08:07:47+00:00,1756195667000000000,110313.76,0.4083000000000002,-45129.240023196,0.0,-79.10777199995482,-45205.14604712049
2025-08-26 08:07:48+00:00,1756195668000000000,110313.795,0.4183000000000002,-46234.530837155995,0.0,-81.02533149995192,-46312.28129537658
2025-08-26 08:07:49+00:00,1756195669000000000,110313.83,0.42830000000000024,-47339.82165111599,0.0,-82.94219099994824,-47419.415843632676
2025-08-26 08:07:50+00:00,1756195670000000000,110313.85,0.43830000000000024,-48445.11226503599,0.0,-84.86472499994869,-48526.55606634876
2025-08-26 08:07:51+00:00,1756195671000000000,110313.885,0.44830000000000025,-49550.40287895599,0.0,-86.78013449995578,-49633.68916456486
2025-08-26 08:07:52+00:00,1756195672000000000,110313.92,0.45830000000000026,-50655.69329283599,0.0,-88.69464399995195,-50740.82136274095
2025-08-26 08:07:53+00:00,1756195673000000000,110313.95,0.46830000000000027,-51760.98370671599,0.0,-90.61079499994807,-51847.95520241705
2025-08-26 08:07:54+00:00,1756195674000000000,110313.98,0.4783000000000003,-52866.27392055599,0.0,-92.5261459999485,-52955.08824205314
2025-08-26 08:07:55+00:00,1756195675000000000,110313.975,0.4883000000000003,-53971.56393435599,0.0,-94.45778749994268,-54062.23757214923
2025-08-26 08:07:56+00:00,1756195676000000000,110313.99,0.4983000000000003,-55076.85344805599,0.0,-96.37906299994548,-55169.376536145326
2025-08-26 08:07:57+00:00,1756195677000000000,110314.025,0.5083000000000003,-56182.14296175599,0.0,-98.28987249995352,-56276.505034141424
