ts_ns,type,side,price,qty
1756195622348000000,book,B,110119.47,0.01423
1756195622448000000,book,B,110119.48,0.14151
1756195622448000000,book,B,110119.47,0.0
1756195622448000000,book,B,110119.46,0.0
1756195622548000000,book,B,110119.48,0.0
1756195622548000000,book,B,110119.46,0.14151
1756195622649000000,book,B,110119.49,0.01423
1756195622749000000,book,B,110119.5,0.14151
1756195622749000000,book,B,110119.46,0.0
1756195622949000000,book,B,110119.49,0.0
1756195622949000000,book,B,110119.32,0.0
1756195623049000000,book,B,110119.5,0.0
1756195623049000000,book,B,110119.46,0.14151
1756195623049000000,book,A,137936.03,0.00036
1756195623449000000,book,B,110119.47,0.01423
1756195623549000000,book,B,110119.48,0.14151
1756195623549000000,book,B,110119.46,0.0
1756195623649000000,book,B,110119.47,0.0
1756195623749000000,book,B,110119.48,0.0
1756195623749000000,book,B,110119.46,0.14151
1756195624350000000,book,B,110119.34,0.0
1756195624450000000,book,B,110119.47,0.0003
1756195624550000000,book,B,110119.48,0.05806
1756195624550000000,book,B,110119.45,0.0
1756195624550000000,book,B,110106.0,0.0
1756195624550000000,book,B,110102.0,0.12263
1756195624550000000,book,A,110508.0,0.12232
1756195624550000000,book,A,110508.02,0.0
1756195624650000000,book,B,110119.5,0.05806
1756195624650000000,book,B,110119.49,0.14151
1756195624650000000,book,B,110119.48,0.0
1756195624650000000,book,B,110119.46,0.0
1756195624650000000,book,B,110102.0,0.0
1756195624650000000,book,B,110097.0,0.12263
1756195624650000000,book,A,110507.98,0.12232
1756195624650000000,book,A,110507.99,0.68404
1756195624650000000,book,A,110508.0,0.0
1756195624650000000,book,A,110508.01,0.0
1756195624750000000,book,B,110119.52,0.05806
1756195624750000000,book,B,110119.51,0.14151
1756195624750000000,book,B,110119.5,0.0
1756195624750000000,book,B,110119.49,0.0
1756195624750000000,book,B,110110.85,0.0
1756195624750000000,book,B,110097.0,0.0
1756195624750000000,book,B,110092.0,0.12263
1756195624750000000,book,A,110507.96,0.12232
1756195624750000000,book,A,110507.97,0.68404
1756195624750000000,book,A,110507.98,0.0
1756195624750000000,book,A,110507.99,0.0
1756195624850000000,book,B,110119.53,0.14151
1756195624850000000,book,B,110119.51,0.0
1756195624850000000,book,B,110099.36,0.03614
1756195624850000000,book,A,110507.95,0.68404
1756195624850000000,book,A,110507.97,0.0
1756195624950000000,book,B,110119.37,0.0
1756195624950000000,book,A,110508.04,0.0
1756195625050000000,book,B,110119.54,0.08383
1756195625050000000,book,A,110507.94,0.01081
1756195625150000000,book,B,110119.55,0.14151
1756195625150000000,book,B,110119.53,0.0
1756195625150000000,book,A,110507.93,0.68404
1756195625150000000,book,A,110507.95,0.0
1756195625150000000,book,A,137936.03,0.00036
1756195625250000000,book,B,110119.56,0.05806
1756195625250000000,book,B,110119.52,0.0
1756195625250000000,book,A,110507.92,0.12232
1756195625250000000,book,A,110507.94,0.006
1756195625250000000,book,A,110507.96,0.0
1756195625350000000,book,B,110119.57,0.14151
1756195625350000000,book,B,110119.55,0.0
1756195625350000000,book,A,110507.91,0.68404
1756195625350000000,book,A,110507.92,0.12816
1756195625350000000,book,A,110507.93,0.0
1756195625350000000,book,A,110508.06,0.0
1756195625551000000,book,A,110507.92,0.12335
1756195625651000000,book,A,110507.9,0.00481
