ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756195623000000000,110119.5,,0.14151,,110119.5,,
1756195624000000000,110119.46,137936.03,0.14151,0.00036,124027.745,27816.57,137865.444498
1756195625000000000,110119.53,110507.95,0.14151,0.68404,110313.74,388.42,110186.110236
1756195626000000000,110119.57,110507.87,0.14151,0.68404,110313.72,388.3,110186.129667
1756195627000000000,110119.57,110507.86,0.14151,0.68885,110313.715,388.29,110185.742405
1756195628000000000,110119.57,110507.86,0.14151,0.68885,110313.715,388.29,110185.742405
1756195629000000000,110119.57,110507.86,0.14151,0.68885,110313.715,388.29,110185.742405
1756195630000000000,110119.59,110507.87,0.14181,0.1001,110313.73,388.28,110347.203521
1756195631000000000,110119.63,110507.85,0.15343,0.68404,110313.74,388.22,110190.754452
1756195632000000000,110119.63,110507.85,0.15343,0.68404,110313.74,388.22,110190.754452
1756195633000000000,110119.63,110507.85,0.15343,0.68404,110313.74,388.22,110190.754452
1756195634000000000,110119.65,110507.85,0.14151,0.69004,110313.75,388.2,110185.712392
1756195635000000000,110119.72,110507.85,0.01423,0.69004,110313.785,388.13,110127.56229
1756195636000000000,110119.65,110507.83,0.14151,0.68404,110313.74,388.18,110186.189097
1756195637000000000,110119.7,110507.82,0.14151,0.68404,110313.76,388.12,110186.228813
1756195638000000000,110119.78,110507.82,0.14151,0.69004,110313.8,388.04,110185.815164
1756195639000000000,110119.77,110507.81,0.0003,0.68404,110313.79,388.04,110119.940108
1756195640000000000,110119.77,110507.79,0.0003,0.68404,110313.78,388.02,110119.9401
1756195641000000000,110119.78,110507.81,0.10098,0.68404,110313.795,388.03,110169.693721
1756195642000000000,110119.8,110507.75,0.14151,0.68404,110313.775,387.95,110186.299672
1756195643000000000,110119.82,110507.69,0.14151,0.68404,110313.755,387.87,110186.305959
1756195644000000000,110119.83,110507.61,0.00039,0.68404,110313.72,387.78,110120.050964
1756195645000000000,110119.84,110507.65,0.10093,0.68404,110313.745,387.81,110169.703897
1756195646000000000,110119.86,110507.57,0.08382,0.69004,110313.715,387.71,110161.854485
1756195647000000000,110119.87,110507.56,0.14151,0.68404,110313.715,387.69,110186.325105
1756195648000000000,110119.86,110507.55,0.08382,0.00481,110313.705,387.69,110486.509845
1756195649000000000,110119.88,110507.51,0.14151,0.68404,110313.695,387.63,110186.32482
1756195650000000000,110119.89,110507.48,0.00085,0.00453,110313.685,387.59,110181.126338
