ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-25 01:44:53.250000+00:00,1756086293250000000,112739.76,,,,,
2025-08-25 01:44:53.300000+00:00,1756086293300000000,112739.76,0.7118,-80492.9009251128,0.0,-228.64439600000082,-80721.54532097044
2025-08-25 01:44:53.350000+00:00,1756086293350000000,112739.76,0.7118,-80492.9009251128,0.0,-228.64439600000082,-80721.54532097044
2025-08-25 01:44:53.400000+00:00,1756086293400000000,112739.76,1.4236,-160985.8018502256,0.0,-457.28879200000165,-161443.0906419409
2025-08-25 01:44:53.450000+00:00,1756086293450000000,112739.76,2.8472,-321971.6037004512,0.0,-914.5775840000033,-322886.1812838818
2025-08-25 01:44:53.500000+00:00,1756086293500000000,112739.76,3.559,-402464.504625564,0.0,-1143.2219799999525,-403607.7266048522
2025-08-25 01:44:53.550000+00:00,1756086293550000000,112739.76,3.559,-402464.504625564,0.0,-1143.2219799999525,-403607.7266048522
2025-08-25 01:44:53.600000+00:00,1756086293600000000,112739.76,4.2708,-482957.40555067675,0.0,-1371.8663759999429,-484329.2719258226
2025-08-25 01:44:53.650000+00:00,1756086293650000000,112739.76,4.9998000000000005,-565395.3442615607,0.0,-1606.0357559999331,-567001.3800165608
2025-08-25 01:44:53.700000+00:00,1756086293700000000,112739.755,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7454962801
2025-08-25 01:44:53.750000+00:00,1756086293750000000,112739.755,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7454962801
2025-08-25 01:44:53.800000+00:00,1756086293800000000,112739.75,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7704957802
2025-08-25 01:44:53.850000+00:00,1756086293850000000,112739.75,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7704957802
2025-08-25 01:44:53.900000+00:00,1756086293900000000,112739.745,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7954952802
2025-08-25 01:44:53.950000+00:00,1756086293950000000,112739.745,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.7954952802
2025-08-25 01:44:54+00:00,1756086294000000000,112739.735,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8454942801
2025-08-25 01:44:54.050000+00:00,1756086294050000000,112739.735,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8454942801
2025-08-25 01:44:54.100000+00:00,1756086294100000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.150000+00:00,1756086294150000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.200000+00:00,1756086294200000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.250000+00:00,1756086294250000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.300000+00:00,1756086294300000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.350000+00:00,1756086294350000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.400000+00:00,1756086294400000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.450000+00:00,1756086294450000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.500000+00:00,1756086294500000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.550000+00:00,1756086294550000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.600000+00:00,1756086294600000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.650000+00:00,1756086294650000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.700000+00:00,1756086294700000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.750000+00:00,1756086294750000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.800000+00:00,1756086294800000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.850000+00:00,1756086294850000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.900000+00:00,1756086294900000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:54.950000+00:00,1756086294950000000,112739.73,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8704937801
2025-08-25 01:44:55+00:00,1756086295000000000,112739.725,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8954932801
2025-08-25 01:44:55.050000+00:00,1756086295050000000,112739.725,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.8954932801
2025-08-25 01:44:55.100000+00:00,1756086295100000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.150000+00:00,1756086295150000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.200000+00:00,1756086295200000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.250000+00:00,1756086295250000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.300000+00:00,1756086295300000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.350000+00:00,1756086295350000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.400000+00:00,1756086295400000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
2025-08-25 01:44:55.450000+00:00,1756086295450000000,112739.72,4.9999,-565406.6526197802,0.0,-1606.0928764999687,-567012.9204927802
