ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756086293250000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293300000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293350000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293400000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293450000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293500000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293550000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293600000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293650000000,112418.54,113060.98,0.09997,0.71188,112739.76,642.44,112497.649105
1756086293700000000,112418.54,113060.97,0.09997,0.04224,112739.755,642.43,112870.151892
1756086293750000000,112418.54,113060.97,0.09997,0.04224,112739.755,642.43,112870.151892
1756086293800000000,112418.54,113060.96,0.09997,0.71188,112739.75,642.42,112497.646642
1756086293850000000,112418.54,113060.96,0.09997,0.71188,112739.75,642.42,112497.646642
1756086293900000000,112418.54,113060.95,0.09997,0.04224,112739.745,642.41,112870.137832
1756086293950000000,112418.54,113060.95,0.09997,0.04224,112739.745,642.41,112870.137832
1756086294000000000,112418.54,113060.93,0.09997,0.04224,112739.735,642.39,112870.123773
1756086294050000000,112418.54,113060.93,0.09997,0.04224,112739.735,642.39,112870.123773
1756086294100000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294150000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294200000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294250000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294300000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294350000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294400000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294450000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294500000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294550000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294600000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294650000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294700000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294750000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294800000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294850000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294900000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086294950000000,112418.54,113060.92,0.09997,0.71188,112739.73,642.38,112497.641717
1756086295000000000,112418.54,113060.91,0.09997,0.04224,112739.725,642.37,112870.109713
1756086295050000000,112418.54,113060.91,0.09997,0.04224,112739.725,642.37,112870.109713
1756086295100000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295150000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295200000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295250000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295300000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295350000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295400000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295450000000,112418.54,113060.9,0.09997,0.71188,112739.72,642.36,112497.639254
1756086295500000000,112418.54,113060.89,0.09997,0.0,,,
