ts,side,price,qty,type,ts_ns
1756086289764000000,A,113061.1,0.1001,book,1756086289764000000
1756086289764000000,A,113061.12,0.61178,book,1756086289764000000
1756086290465000000,A,113061.09,0.00101,book,1756086290465000000
1756086290465000000,A,113061.23,0.0,book,1756086290465000000
1756086290565000000,A,113061.08,0.1001,book,1756086290565000000
1756086290565000000,A,113061.1,0.0,book,1756086290565000000
1756086290665000000,A,113061.07,0.0,book,1756086290665000000
1756086290665000000,A,113061.13,0.44853,book,1756086290665000000
1756086290965000000,A,113061.07,0.00111,book,1756086290965000000
1756086290965000000,A,113061.49,0.0,book,1756086290965000000
1756086291065000000,A,113061.06,0.1001,book,1756086291065000000
1756086291065000000,A,113061.08,0.0,book,1756086291065000000
1756086291065000000,A,113061.11,0.61178,book,1756086291065000000
1756086291065000000,A,113061.12,0.0,book,1756086291065000000
1756086291165000000,A,113061.08,0.61178,book,1756086291165000000
1756086291165000000,A,113061.11,0.0,book,1756086291165000000
1756086291766000000,A,140978.35,0.00045,book,1756086291766000000
1756086291866000000,A,113061.05,0.04201,book,1756086291866000000
1756086291966000000,A,113061.04,0.71188,book,1756086291966000000
1756086291966000000,A,113061.06,0.0,book,1756086291966000000
1756086291966000000,A,113061.08,0.0,book,1756086291966000000
1756086292266000000,B,112418.53,0.1224,book,1756086292266000000
1756086292266000000,B,112418.51,0.0,book,1756086292266000000
1756086292266000000,A,113061.03,0.21741,book,1756086292266000000
1756086292266000000,A,113061.15,0.0,book,1756086292266000000
1756086292366000000,B,112418.54,0.09997,book,1756086292366000000
1756086292366000000,B,112418.52,0.0,book,1756086292366000000
1756086292366000000,A,113061.02,0.71188,book,1756086292366000000
1756086292366000000,A,113061.04,0.0,book,1756086292366000000
1756086292867000000,A,113061.01,0.04201,book,1756086292867000000
1756086292867000000,A,113061.05,0.0,book,1756086292867000000
1756086292867000000,A,113061.13,0.0,book,1756086292867000000
1756086292967000000,A,113060.99,0.44853,book,1756086292967000000
1756086292967000000,A,113061.0,0.71188,book,1756086292967000000
1756086292967000000,A,113061.02,0.0,book,1756086292967000000
1756086293067000000,B,112324.02,0.0,book,1756086293067000000
1756086293067000000,A,113060.98,0.71188,book,1756086293067000000
1756086293067000000,A,113061.0,0.0,book,1756086293067000000
1756086293467000000,A,140978.35,0.00045,book,1756086293467000000
1756086293667000000,A,113060.97,0.04224,book,1756086293667000000
1756086293767000000,A,113060.96,0.71188,book,1756086293767000000
1756086293767000000,A,113060.98,0.0,book,1756086293767000000
1756086293867000000,A,113060.95,0.04224,book,1756086293867000000
1756086293867000000,A,113060.97,0.0,book,1756086293867000000
1756086293967000000,A,113060.93,0.04224,book,1756086293967000000
1756086293967000000,A,113060.94,0.71188,book,1756086293967000000
1756086293967000000,A,113060.96,0.0,book,1756086293967000000
1756086293967000000,A,113061.01,0.0,book,1756086293967000000
1756086294068000000,A,113060.92,0.71188,book,1756086294068000000
1756086294068000000,A,113060.94,0.0,book,1756086294068000000
1756086294968000000,A,113060.91,0.04224,book,1756086294968000000
1756086294968000000,A,113060.93,0.0,book,1756086294968000000
1756086294968000000,A,113060.95,0.0,book,1756086294968000000
1756086294968000000,A,140978.35,0.00036,book,1756086294968000000
1756086295068000000,A,113060.9,0.71188,book,1756086295068000000
1756086295068000000,A,113060.92,0.0,book,1756086295068000000
1756086295068000000,A,140978.35,0.00036,book,1756086295068000000
1756086295469000000,B,112285.19,0.05663,book,1756086295469000000
1756086295469000000,A,113060.89,0.00058,book,1756086295469000000
1756086295469000000,A,113061.09,0.0,book,1756086295469000000
1756086295569000000,A,113060.88,0.1001,book,1756086295569000000
1756086295569000000,A,113060.9,0.61178,book,1756086295569000000
1756086295869000000,A,113060.87,0.01776,book,1756086295869000000
1756086295869000000,A,113061.07,0.0,book,1756086295869000000
1756086295869000000,A,140978.35,0.00027,book,1756086295869000000
1756086295969000000,A,113060.85,0.0,book,1756086295969000000
1756086295969000000,A,113060.86,0.71188,book,1756086295969000000
1756086295969000000,A,113060.88,0.0,book,1756086295969000000
1756086295969000000,A,113060.9,0.0,book,1756086295969000000
1756086295969000000,A,113060.91,0.0,book,1756086295969000000
1756086296870000000,A,113061.24,0.0,book,1756086296870000000
1756086296970000000,A,113060.83,0.0255,book,1756086296970000000
1756086296970000000,A,113060.85,0.04224,book,1756086296970000000
1756086296970000000,A,113060.99,0.0,book,1756086296970000000
1756086297070000000,A,113060.82,1.16041,book,1756086297070000000
1756086297070000000,A,113060.86,0.0,book,1756086297070000000
1756086297170000000,A,113060.81,0.04224,book,1756086297170000000
1756086297270000000,A,113060.8,0.71188,book,1756086297270000000
1756086297270000000,A,113060.82,0.44853,book,1756086297270000000
1756086297770000000,A,113060.87,0.0,book,1756086297770000000
1756086298171000000,B,112418.55,0.1224,book,1756086298171000000
1756086298171000000,B,112418.53,0.0,book,1756086298171000000
1756086298171000000,A,113060.79,0.25965,book,1756086298171000000
1756086298171000000,A,113060.81,0.0,book,1756086298171000000
1756086298171000000,A,113060.85,0.0,book,1756086298171000000
1756086298171000000,A,113061.03,0.0,book,1756086298171000000
1756086298271000000,B,112418.56,0.09997,book,1756086298271000000
1756086298271000000,B,112418.54,0.0,book,1756086298271000000
1756086298271000000,A,113060.78,0.71188,book,1756086298271000000
1756086298271000000,A,113060.8,0.0,book,1756086298271000000
1756086298671000000,A,113060.77,0.00111,book,1756086298671000000
1756086298771000000,A,113060.76,0.1001,book,1756086298771000000
1756086298771000000,A,113060.78,0.61178,book,1756086298771000000
1756086299171000000,A,113060.75,0.04231,book,1756086299171000000
1756086299171000000,A,113060.79,0.21741,book,1756086299171000000
1756086299271000000,A,113060.74,0.71188,book,1756086299271000000
1756086299271000000,A,113060.76,0.0,book,1756086299271000000
1756086299271000000,A,113060.78,0.0,book,1756086299271000000
1756086299271000000,A,140978.35,0.00018,book,1756086299271000000
1756086299571000000,A,113060.73,0.00058,book,1756086299571000000
1756086299571000000,A,113060.89,0.0,book,1756086299571000000
1756086299672000000,A,113060.72,0.1001,book,1756086299672000000
1756086299672000000,A,113060.74,0.61178,book,1756086299672000000
1756086300172000000,A,113060.71,0.04231,book,1756086300172000000
1756086300172000000,A,113060.75,0.0,book,1756086300172000000
1756086300272000000,A,113060.7,0.71188,book,1756086300272000000
1756086300272000000,A,113060.72,0.0,book,1756086300272000000
1756086300272000000,A,113060.74,0.0,book,1756086300272000000
1756086300672000000,A,113060.69,0.04181,book,1756086300672000000
1756086300772000000,A,113060.67,0.04012,book,1756086300772000000
1756086300772000000,A,113060.68,0.71188,book,1756086300772000000
1756086300772000000,A,113060.69,0.0,book,1756086300772000000
1756086300772000000,A,113060.7,0.0,book,1756086300772000000
1756086300872000000,A,113060.66,0.71188,book,1756086300872000000
1756086300872000000,A,113060.68,0.0,book,1756086300872000000
1756086301173000000,A,113060.65,0.04012,book,1756086301173000000
1756086301173000000,A,113060.71,0.0,book,1756086301173000000
1756086301173000000,A,113060.82,0.0,book,1756086301173000000
1756086301273000000,A,113060.63,0.44853,book,1756086301273000000
1756086301273000000,A,113060.64,0.71188,book,1756086301273000000
1756086301273000000,A,113060.65,0.0,book,1756086301273000000
1756086301273000000,A,113060.66,0.0,book,1756086301273000000
1756086301373000000,A,113060.62,0.71188,book,1756086301373000000
1756086301373000000,A,113060.64,0.0,book,1756086301373000000
1756086301473000000,A,140978.35,9e-05,book,1756086301473000000
1756086301573000000,B,112549.47,0.09997,book,1756086301573000000
1756086301573000000,B,112418.56,0.0,book,1756086301573000000
1756086302273000000,B,112549.48,0.04,book,1756086302273000000
1756086302273000000,B,112549.46,0.0,book,1756086302273000000
1756086302273000000,A,113060.61,0.04012,book,1756086302273000000
1756086302273000000,A,113060.67,0.0,book,1756086302273000000
1756086302373000000,B,112549.49,0.09997,book,1756086302373000000
1756086302373000000,B,112549.47,0.0,book,1756086302373000000
1756086302373000000,A,113060.6,0.71188,book,1756086302373000000
1756086302373000000,A,113060.62,0.0,book,1756086302373000000
1756086302674000000,A,113060.59,0.04,book,1756086302674000000
1756086302774000000,A,113060.58,0.71188,book,1756086302774000000
1756086302774000000,A,113060.6,0.0,book,1756086302774000000
1756086303074000000,A,140978.35,0.0,book,1756086303074000000
1756086303374000000,A,140978.35,9e-05,book,1756086303374000000
1756086303574000000,B,112500.01,0.1224,book,1756086303574000000
1756086303574000000,B,112418.55,0.0,book,1756086303574000000
1756086303574000000,A,113060.57,0.21799,book,1756086303574000000
1756086303574000000,A,113060.73,0.0,book,1756086303574000000
1756086303574000000,A,113060.79,0.0,book,1756086303574000000
1756086303574000000,A,140978.35,0.00018,book,1756086303574000000
1756086303674000000,B,112549.48,0.0,book,1756086303674000000
1756086303674000000,B,112399.35,0.0,book,1756086303674000000
1756086303674000000,A,113060.56,0.75188,book,1756086303674000000
1756086303674000000,A,113060.58,0.0,book,1756086303674000000
1756086303674000000,A,113060.61,0.0,book,1756086303674000000
1756086303774000000,B,112549.49,0.0,book,1756086303774000000
1756086303774000000,B,112549.43,0.09997,book,1756086303774000000
1756086303774000000,B,112418.57,0.02239,book,1756086303774000000
1756086303875000000,B,112549.44,0.04047,book,1756086303875000000
1756086303875000000,A,113060.55,0.04,book,1756086303875000000
1756086303875000000,A,113060.59,0.0,book,1756086303875000000
1756086303975000000,A,113060.55,0.0,book,1756086303975000000
1756086304075000000,B,112549.45,0.09997,book,1756086304075000000
1756086304075000000,B,112549.43,0.0,book,1756086304075000000
1756086304075000000,A,113060.54,0.71188,book,1756086304075000000
1756086304075000000,A,113060.56,0.04,book,1756086304075000000
1756086304175000000,A,113060.54,0.0,book,1756086304175000000
1756086304175000000,A,113060.55,0.71188,book,1756086304175000000
1756086304675000000,A,113060.54,0.04,book,1756086304675000000
1756086304675000000,A,113060.56,0.0,book,1756086304675000000
1756086304775000000,A,113060.53,0.71188,book,1756086304775000000
1756086304775000000,A,113060.55,0.0,book,1756086304775000000
1756086305375000000,B,112418.57,0.0,book,1756086305375000000
1756086305375000000,A,113060.52,0.00111,book,1756086305375000000
1756086305375000000,A,113060.63,0.0,book,1756086305375000000
1756086305375000000,A,113060.77,0.0,book,1756086305375000000
1756086305475000000,A,113060.5,0.44853,book,1756086305475000000
1756086305475000000,A,113060.51,0.1001,book,1756086305475000000
1756086305475000000,A,113060.53,0.61178,book,1756086305475000000
1756086305576000000,A,113060.49,0.71188,book,1756086305576000000
1756086305576000000,A,113060.51,0.0,book,1756086305576000000
1756086305576000000,A,113060.53,0.0,book,1756086305576000000
1756086305676000000,B,112549.44,0.0,book,1756086305676000000
1756086305676000000,A,113060.48,0.04,book,1756086305676000000
1756086305676000000,A,113060.54,0.0,book,1756086305676000000
1756086305776000000,B,112549.46,0.04047,book,1756086305776000000
1756086305776000000,B,112549.45,0.0,book,1756086305776000000
1756086305776000000,B,112549.43,0.09997,book,1756086305776000000
1756086305776000000,A,113060.47,0.71188,book,1756086305776000000
1756086305776000000,A,113060.49,0.0,book,1756086305776000000
1756086305876000000,B,112549.47,0.09997,book,1756086305876000000
1756086305876000000,B,112549.43,0.0,book,1756086305876000000
1756086305876000000,A,113060.46,0.04,book,1756086305876000000
1756086305976000000,A,113060.45,0.71188,book,1756086305976000000
1756086305976000000,A,113060.47,0.0,book,1756086305976000000
1756086306276000000,A,113060.44,0.00058,book,1756086306276000000
1756086306276000000,A,113060.57,0.21741,book,1756086306276000000
1756086306977000000,A,113060.83,0.0,book,1756086306977000000
