slug,seed,score,pnl_total,max_drawdown,sharpe_like,filled_qty,avg_px,fees,run_dir,status,params
vwap-cooldown_ms0-min_clip0.05-nametwap-parent_qty2-sidebuy-seed1-31f1c2e3,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.05-nametwap-parent_qty2-sidebuy-seed1-31f1c2e3,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.05, ""name"": ""twap"", ""parent_qty"": 2.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.1-namevwap-parent_qty2-sidebuy-seed1-de040ce4,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.1-namevwap-parent_qty2-sidebuy-seed1-de040ce4,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.1, ""name"": ""vwap"", ""parent_qty"": 2.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.05-namevwap-parent_qty2-sidebuy-seed1-143206e0,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.05-namevwap-parent_qty2-sidebuy-seed1-143206e0,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.05, ""name"": ""vwap"", ""parent_qty"": 2.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.05-namevwap-parent_qty5-sidebuy-seed1-26e4f52d,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.05-namevwap-parent_qty5-sidebuy-seed1-26e4f52d,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.05, ""name"": ""vwap"", ""parent_qty"": 5.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.05-nametwap-parent_qty5-sidebuy-seed1-39b7b561,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.05-nametwap-parent_qty5-sidebuy-seed1-39b7b561,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.05, ""name"": ""twap"", ""parent_qty"": 5.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.1-namevwap-parent_qty5-sidebuy-seed1-9c2dd887,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.1-namevwap-parent_qty5-sidebuy-seed1-9c2dd887,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.1, ""name"": ""vwap"", ""parent_qty"": 5.0, ""side"": ""buy""}"
vwap-cooldown_ms0-min_clip0.1-nametwap-parent_qty2-sidebuy-seed1-aa127505,1,9891.531297481057,-567013.3205267796,486291.7324919724,9891.531297481057,4.9999,113061.01999999997,113.05875877959998,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms0-min_clip0.1-nametwap-parent_qty2-sidebuy-seed1-aa127505,ok,"{""cooldown_ms"": 0, ""min_clip"": 0.1, ""name"": ""twap"", ""parent_qty"": 2.0, ""side"": ""buy""}"
vwap-cooldown_ms250-min_clip0.05-namevwap-parent_qty2-sidebuy-seed1-4da86bb4,1,6212.681819219532,-567024.1291428176,486302.5789632427,6212.681819219532,5.0,113060.9668176,113.0609668176,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms250-min_clip0.05-namevwap-parent_qty2-sidebuy-seed1-4da86bb4,ok,"{""cooldown_ms"": 250, ""min_clip"": 0.05, ""name"": ""vwap"", ""parent_qty"": 2.0, ""side"": ""buy""}"
vwap-cooldown_ms250-min_clip0.05-namevwap-parent_qty5-sidebuy-seed1-d31adca0,1,6212.681819219532,-567024.1291428176,486302.5789632427,6212.681819219532,5.0,113060.9668176,113.0609668176,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms250-min_clip0.05-namevwap-parent_qty5-sidebuy-seed1-d31adca0,ok,"{""cooldown_ms"": 250, ""min_clip"": 0.05, ""name"": ""vwap"", ""parent_qty"": 5.0, ""side"": ""buy""}"
vwap-cooldown_ms250-min_clip0.05-nametwap-parent_qty5-sidebuy-seed1-e72361de,1,6212.681819219532,-567024.1291428176,486302.5789632427,6212.681819219532,5.0,113060.9668176,113.0609668176,/Users/muneermamnoon/GitHub Projects/limit-order-book/out/sweeps/acceptance/vwap-cooldown_ms250-min_clip0.05-nametwap-parent_qty5-sidebuy-seed1-e72361de,ok,"{""cooldown_ms"": 250, ""min_clip"": 0.05, ""name"": ""twap"", ""parent_qty"": 5.0, ""side"": ""buy""}"
