ts_ns,type,side,price,qty
1756090800211000000,book,B,113231.57,0.00584
1756090800311000000,book,B,113231.58,0.01752
1756090800311000000,book,B,113231.56,0.0
1756090800412000000,book,A,113452.08,0.00028
1756090801813000000,book,B,113231.59,0.02
1756090801813000000,book,B,113231.57,0.00564
1756090801913000000,book,B,113231.6,0.01752
1756090801913000000,book,B,113231.58,0.0
1756090802113000000,book,A,113452.13,0.0
1756090802213000000,book,A,113452.07,0.34373
1756090802313000000,book,B,113231.59,0.0
1756090802313000000,book,A,113452.06,0.59379
1756090802313000000,book,A,113452.09,0.0
1756090802413000000,book,B,113231.6,0.0
1756090802413000000,book,B,113231.58,0.01752
1756090802713000000,book,B,113231.59,0.00043
1756090802813000000,book,B,113093.9,0.1224
1756090802813000000,book,B,113093.88,0.0
1756090802813000000,book,B,113093.63,0.0
1756090802813000000,book,A,113452.04,0.21741
1756090802813000000,book,A,113452.05,0.04634
1756090802813000000,book,A,113452.1,0.0
1756090802813000000,book,A,113452.15,0.0
1756090802913000000,book,B,113093.91,0.1001
1756090802913000000,book,B,113093.89,0.0
1756090802913000000,book,B,113074.28,0.02316
1756090802913000000,book,A,113452.03,0.691
1756090802913000000,book,A,113452.04,0.1202
1756090802913000000,book,A,113452.06,0.0
1756090803214000000,book,B,113231.42,0.0
1756090803814000000,book,A,113452.02,0.04634
1756090803814000000,book,A,113452.05,0.0
1756090803914000000,book,A,113452.01,0.59379
1756090803914000000,book,A,113452.03,0.09721
1756090804014000000,book,A,113452.08,0.0
1756090804014000000,book,A,141574.17,0.00018
1756090804114000000,book,A,113452.0,0.00028
1756090804615000000,book,B,113152.38,0.00382
1756090804715000000,book,B,113152.39,0.1001
1756090804715000000,book,B,113093.91,0.0
1756090804815000000,book,A,141574.17,0.00027
1756090805215000000,book,B,113231.59,0.00781
1756090805315000000,book,B,113231.6,0.01752
1756090805315000000,book,B,113231.58,0.0
1756090805315000000,book,A,141574.17,0.00036
1756090806116000000,book,A,141574.17,0.00045
1756090806116000000,book,A,141816.73,0.0
1756090806316000000,book,A,113452.07,0.0
1756090806416000000,book,A,113451.98,0.04326
1756090806416000000,book,A,113451.99,0.34373
1756090806416000000,book,A,113452.02,0.0
1756090806516000000,book,A,113451.97,0.59379
1756090806516000000,book,A,113452.01,0.0
1756090806616000000,book,B,113152.4,0.1224
1756090806616000000,book,B,113093.9,0.0
1756090806616000000,book,A,113451.96,0.21741
1756090806616000000,book,A,113452.03,0.0
1756090806616000000,book,A,113452.04,0.0
1756090806716000000,book,B,113152.41,0.1001
1756090806716000000,book,B,113152.39,0.0
1756090806716000000,book,A,113451.95,0.59379
1756090806716000000,book,A,113451.97,0.0
1756090807416000000,book,A,113451.94,0.04326
1756090807416000000,book,A,113451.98,0.0
1756090807517000000,book,A,113451.93,0.59379
1756090807517000000,book,A,113451.95,0.0
1756090807817000000,book,A,141574.17,0.00045
1756090807917000000,book,A,113451.92,0.04444
1756090808017000000,book,A,113451.91,0.59379
1756090808017000000,book,A,113451.93,0.0
1756090808117000000,book,A,113451.91,0.59407
1756090808117000000,book,A,113452.0,0.0
1756090808417000000,book,A,113451.9,0.0
1756090808417000000,book,A,113451.94,0.0
1756090809418000000,book,A,113451.9,0.0443
1756090809418000000,book,A,113451.92,0.0
1756090809518000000,book,A,113451.89,0.59379
1756090809518000000,book,A,113451.91,0.00028
1756090809618000000,book,A,113451.88,0.0443
1756090809718000000,book,A,113451.87,0.59379
